language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
finnish,delete,DeepSeek R1,,15,5,ok,-32.63883395397861,5.081481556988351,1.272839381818569,2.399999999999998,0.7128451134004041,3.366790281484221,0.0007604849787625102,0.0010416339709110746,True
finnish,delete,gpt 3.5,,15,5,ok,-29.2583849189106,2.9074057647708598,0.9530894108557358,1.4999999999999996,0.5392036502816778,2.7818802769907167,0.005404497314577685,0.00656675480158364,True
finnish,delete,gpt 4,,15,5,ok,-33.53532882520178,6.930769230769233,4.07879025377634e-33,2.9000000000000017,0.8325124161698266,3.4834315304775254,0.000495029727956384,0.0006992294907383924,True
finnish,delete,gpt-4.1,,15,5,ok,-23.774386582801228,0.8777776736347307,1.540741264861686,2.099999999999999,0.29627312966834013,7.088054196311432,1.3601071078336794e-12,4.269225088477938e-12,True
finnish,delete,gpt-4o,,15,5,ok,-39.057177340474816,16.2076923076923,6.528517731291343e-32,4.300000000000002,1.2730943526578187,3.3775972621533987,0.0007312208859454044,0.0010076580501442768,True
finnish,delete,gpt-5,,15,5,ok,-26.887377503397737,2.4923076923076968,3.8169222325720622e-34,5.600000000000003,0.4992301766027067,11.21727063477685,3.3546455501560914e-29,2.9159611320587563e-28,True
finnish,delete,gpt-5 mini,,15,5,ok,-27.837563819555257,2.8846153846153846,7.485136725037179e-33,4.5,0.5370861555295748,8.378544026261363,5.358643843359975e-17,2.374614722743832e-16,True
finnish,delete,gpt-5 nano,,15,5,ok,-34.14762678108372,7.615384615384619,3.3084926475442467e-32,3.4000000000000017,0.8726617108241096,3.8961260220631964,9.774354406142802e-05,0.00015340306220751898,True
finnish,delete,gpt-oss-120b,,15,5,ok,-22.000099757009274,0.7296394963525878,0.9011964590054421,4.1,0.2701183992904941,15.178529158951244,4.9066111378403006e-52,8.529954747322369e-51,True
finnish,delete,bleurt_score,,15,5,ok,9.280260057500124,0.0025912636153610042,0.05907812161432518,0.02028654813766479,0.016097402322614057,1.2602373806092746,0.2075837418153148,0.22234298153425133,False
finnish,delete,bertscore_f1__roberta-large,,15,5,ok,38.405963317241586,6.419930491951947e-05,9.51797048097926e-05,-0.021096938848495395,0.002533758175507668,-8.32634268432834,8.337821689001414e-17,3.6237455802198455e-16,True
finnish,delete,bertscore_f1__xlm-roberta-base,,15,5,ok,39.976549940579545,6.26658642980341e-05,3.5241624298601046e-05,-0.019112360477447504,0.002503315087998993,-7.634820150716557,2.261358787461426e-14,7.98542321822316e-14,True
